"","Latitude","Longitude","BSR","5kmForestCover","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"114",-15.169651,-39.054337,"Bahia coastal forests",88.8887055725635,0.034,24.1625003814697,143.354675292969,1823,10.8766174316406,5,0.14
"115",-15.180899,-39.08238,"Bahia coastal forests",95.2844726359537,0.034,24.0125007629395,143.861129760742,1812,9.88634777069092,9,0.24
"116",-23.192344,-46.358653,"Serra do Mar coastal forests",41.8609918989836,0.09,18.1458339691162,235.530914306641,1361,66.1645889282227,836,0.45
"118",-23.208728,-46.344692,"Serra do Mar coastal forests",46.7657191203809,0.082,17.875,236.561538696289,1369,66.4251022338867,907,1.42
"119",-23.200571,-46.355879,"Serra do Mar coastal forests",42.9071166269365,0.09,17.8791675567627,236.791610717773,1369,66.1205978393555,855,1.61
"120",-23.192236,-46.359282,"Serra do Mar coastal forests",41.6270116315988,0.09,18.1458339691162,235.530914306641,1361,66.1645889282227,836,0.45
"121",-23.17327,-46.464677,"Serra do Mar coastal forests",45.6740475107733,0.21,18.0708332061768,234.951248168945,1368,64.7620468139648,866,1.44
"122",-23.173796,-46.465988,"Serra do Mar coastal forests",46.5201838059286,0.21,18.0708332061768,234.951248168945,1368,64.7620468139648,866,1.44
"123",-23.173814,-46.46434,"Serra do Mar coastal forests",45.6725936071855,0.21,18.0708332061768,234.951248168945,1368,64.7620468139648,866,1.44
"124",-22.5,-52.33333333,"Alto Parana Atlantic forest",81.552324899888,0.005,22.0041675567627,254.482177734375,1163,43.5940780639648,535,3.43
"125",-22.671531,-51.518201,"Alto Parana Atlantic forest",23.472653583357,0.023,22.3500003814697,261.976745605469,1230,44.4892921447754,305,0.12
"126",-22.53969444,-42.28038889,"Serra do Mar coastal forests",59.7350330608069,0.078,22.6875,224.612045288086,1163,55.7346229553223,56,0.48
"127",-22.42463889,-42.04005556,"Serra do Mar coastal forests",51.5573229106047,0.061,22.7083339691162,220.956939697266,1196,54.3457374572754,142,0.59
"128",-22.477651,-52.464406,"Alto Parana Atlantic forest",29.481079572517,0.006,21.9249992370605,253.561004638672,1182,42.7632522583008,341,0.4
"129",-20.44638889,-44.61055556,"Bahia interior forests",38.5982960190184,0.258,20.2374992370605,211.446594238281,1479,85.4767684936523,874,1.44
"130",-22.20474444,-45.73885278,"Alto Parana Atlantic forest",25.2383355372961,0.315,18.2625007629395,259.47607421875,1606,71.5121459960938,916,0.15
"131",-7.021111111,-34.95555556,"Pernambuco interior forests",30.7065835367261,0.059,25.4375,97.7270050048828,1669,62.4866104125977,77,0.46
"132",-6.722794444,-35.18232222,"Pernambuco interior forests",32.7695312822515,0.062,24.7916660308838,114.073997497559,1316,62.4467468261719,150,0.24
"133",-29.39161111,-52.53895556,"Alto Parana Atlantic forest",74.0104135870869,0.071,17.9125003814697,364.991424560547,1401,33.7070007324219,577,4.84
"134",-22.358816,-47.477433,"Alto Parana Atlantic forest",17.8783677325657,0.089,20.2374992370605,245.746765136719,1294,73.8036956787109,613,0.09
"135",-22.84793056,-53.30448611,"Alto Parana Atlantic forest",5.1792179735053,0.009,21.9125003814697,264.283966064453,1285,40.6509056091309,309,0.02
"138",-22.81489722,-53.37212778,"Alto Parana Atlantic forest",13.3633196322102,0.296,22.2916660308838,264.401824951172,1276,40.1306648254395,235,0.53
"139",-20.79968056,-42.86110278,"Bahia interior forests",27.4149746789913,0.194,19.0041675567627,238.713012695312,1313,76.4903717041016,702,1.75
"140",-20.75608056,-42.85966944,"Bahia interior forests",20.0922222999835,0.218,19.3583335876465,241.358215332031,1290,77.2660903930664,641,0.27
"141",-20.76424722,-42.86209722,"Bahia interior forests",22.8417362626031,0.174,19.5416660308838,243.23420715332,1267,78.0026702880859,641,0.27
"142",-20.76911667,-42.87765556,"Bahia interior forests",26.5563275547314,0.153,19.4416675567627,240.518707275391,1286,77.6487655639648,666,0.93
"143",-20.77611944,-42.87028611,"Bahia interior forests",26.8457254059141,0.153,19.3291664123535,239.682174682617,1287,77.4621887207031,663,0.77
"144",-20.77041944,-42.85134722,"Bahia interior forests",25.4862255942013,0.24,19.4249992370605,241.881820678711,1274,77.6427230834961,652,0.84
"145",-20.74181944,-42.85917222,"Bahia interior forests",19.3747307751191,0.186,19.4791660308838,242.275741577148,1279,77.3335113525391,640,0.16
"146",-20.74073889,-42.893175,"Bahia interior forests",22.3730993868307,0.222,19.8374996185303,241.417465209961,1269,78.207649230957,653,0.87
"147",-20.747125,-42.91690556,"Bahia interior forests",24.9312454888281,0.528,19.6749992370605,238.561019897461,1279,77.7134475708008,694,2.17
"148",-20.78665,-42.87956667,"Bahia interior forests",28.2934349790447,0.299,19.4624996185303,240.672592163086,1277,77.7185440063477,679,0.65
"149",-20.79022778,-42.89158333,"Bahia interior forests",29.5731291956502,0.345,19.375,239.805801391602,1284,77.7647476196289,713,1.49
"150",-20.75517222,-42.81549722,"Bahia interior forests",22.7109564586585,0.574,19.5041675567627,242.912796020508,1267,77.3815612792969,668,0.38
"151",-20.74191389,-42.76078056,"Bahia interior forests",23.9061698732131,0.432,19.091667175293,238.887893676758,1301,76.2451782226562,736,2.69
"152",-20.68163889,-42.86580556,"Bahia interior forests",22.2032998164859,0.278,19.3250007629395,240.421035766602,1300,76.8642349243164,661,0.32
"153",-20.687425,-42.8733,"Bahia interior forests",22.7089567979852,0.45,19.3583335876465,241.358215332031,1292,77.0555572509766,653,0.31
"154",-20.68356111,-42.87879722,"Bahia interior forests",25.1840677671575,0.474,19.375,240.959259033203,1287,77.2355117797852,655,0.35
"155",-20.73242778,-42.87954167,"Bahia interior forests",20.5691348453339,0.177,19.7708339691162,242.922149658203,1272,77.604377746582,640,0.23
"156",-20.74030833,-42.87229444,"Bahia interior forests",20.5409508422203,0.138,19.5541667938232,244.172622680664,1274,77.7466430664062,639,0.18
"158",-20.73451944,-42.9277,"Bahia interior forests",25.8667500992469,0.146,19.5249996185303,238.418090820312,1288,77.8120346069336,688,2.56
"159",-20.79666944,-42.84770833,"Bahia interior forests",25.6044336814562,0.251,19.3250007629395,240.789428710938,1283,77.270622253418,741,2.73
"161",-27.94891944,-49.48716111,"Araucaria moist forests",77.4541839728878,0.05,13.2749996185303,290.364166259766,1714,17.7299880981445,1548,0.93
"162",-20.63072222,-40.969125,"Bahia coastal forests",68.8420002266588,0.165,18.8125,210.185256958008,1266,54.0486602783203,906,0.91
"163",-22.4,-49.7,"Alto Parana Atlantic forest",49.3107712623385,0.058,20.4833335876465,258.899200439453,1274,60.5765762329102,610,0.08
"165",-26.78736111,-51.96307778,"Araucaria moist forests",81.2979457537198,0.097,16.2749996185303,326.597473144531,1906,16.516242980957,888,0.62
"166",-27.10105556,-49.17901667,"Serra do Mar coastal forests",90.2784284092997,0.073,15.9541664123535,303.962158203125,1705,24.4938488006592,671,5.72
"167",-22.839361,-49.899416,"Alto Parana Atlantic forest",14.0905346492331,0.084,20.75,281.755859375,1270,52.1390228271484,518,0.61
"168",-26.77690556,-49.88965,"Araucaria moist forests",88.1756333360877,0.043,17.341667175293,329.516387939453,1562,19.5072784423828,486,0.42
"169",-22.232928,-52.225806,"Alto Parana Atlantic forest",27.3897922630043,0.033,22.1000003814697,246.981781005859,1158,46.5540809631348,316,0.02
"170",-22.281467,-52.329195,"Alto Parana Atlantic forest",21.5637374778333,0.031,22.1499996185303,250.190826416016,1165,45.7389945983887,315,0.26
"171",-22.477231,-52.4641,"Alto Parana Atlantic forest",29.2311629443278,0.065,21.9249992370605,253.561004638672,1182,42.7632522583008,341,0.4
"172",-22.414326,-52.514858,"Alto Parana Atlantic forest",22.1873053526957,0.009,22.0083332061768,253.079513549805,1185,43.9154014587402,326,0.25
"173",-22.671322,-51.511558,"Alto Parana Atlantic forest",27.3941972193516,0.034,22.3999996185303,260.750671386719,1228,44.637092590332,304,0.11
"174",-16.049166,-40.850555,"Bahia interior forests",56.486943599317,0.12,20.3833332061768,161.461135864258,798,59.5430908203125,369,4.09
"176",-16.056653,-40.030352,"Bahia interior forests",19.8365076362554,0.048,24.2916660308838,174.431976318359,808,51.3972206115723,155,0.62
"177",-17.612051,-41.963312,"Bahia interior forests",72.4608973231433,0.059,20.7999992370605,186.584121704102,1051,80.2876586914062,901,1.07
"178",-17.696168,-41.713261,"Bahia interior forests",64.1318267870581,0.091,21.3624992370605,187.436340332031,1052,74.2577438354492,502,0.89
"179",-16.341389,-41.011667,"Bahia interior forests",79.0814475817337,0.12,19.3583335876465,165.774124145508,869,60.415283203125,338,0.5
"180",-15.780333,-40.526723,"Bahia coastal forests",32.2011018557611,0.039,21.5625,166.352920532227,954,44.762825012207,861,7.72
"182",-15.386739,-39.713425,"Bahia coastal forests",45.2515133905574,0.031,21.3708324432373,159.237640380859,1087,25.9832496643066,242,0.6
"185",-19.568822,-39.798673,"Bahia coastal forests",27.143026867877,0.11,23.6291675567627,192.831298828125,1249,44.3046684265137,1,0
"187",-20.745008,-42.057767,"Bahia interior forests",21.8608408038355,0.132,19.1375007629395,233.66764831543,1279,71.421875,673,4.09
"189",-20.754166,-42.167248,"Bahia interior forests",24.3650664406005,0.125,18.5208339691162,235.637023925781,1315,71.5214538574219,1127,7.05
"192",-20.737667,-41.948711,"Bahia interior forests",26.6024234691595,0.056,19.3500003814697,232.242034912109,1256,71.1564559936523,646,1.85
"193",-20.602366,-42.083521,"Bahia interior forests",27.8857443949694,0.054,17.75,231.860076904297,1329,70.8392028808594,916,0.08
"194",-20.665344,-42.049798,"Bahia interior forests",24.6545874508839,0.062,18.591667175293,233.830093383789,1301,71.3951187133789,805,5.49
"195",-20.767333,-42.030176,"Bahia interior forests",14.9020525855338,0.049,20.875,234.331741333008,1215,74.4913711547852,609,0.51
"196",-20.751304,-42.235951,"Bahia interior forests",15.2939712439437,0.085,19.095832824707,237.098556518555,1294,73.110969543457,897,0.91
"197",-20.711958,-42.049456,"Bahia interior forests",17.8823698973592,0.038,19.9791660308838,233.408126831055,1243,73.6198043823242,608,0.34
"198",-20.693385,-42.031847,"Bahia interior forests",19.1265144949987,0.122,21.0083332061768,232.445816040039,1213,74.899284362793,608,0.01
