"","Alouatta caraya","Alouatta guariba","Brachyteles arachnoides","Brachyteles hypoxanthus","Callicebus coimbrai","Callicebus melanochir","Callicebus nigrifrons","Callicebus personatus","Callithrix aurita","Callithrix geoffroyi","Callithrix jacchus","Callithrix kuhlii","Callithrix penicillata","Chaetomys subspinosus","Chrysocyon brachyurus","Coendou insidiosus","Coendou prehensilis","Coendou spinosus","Conepatus chinga","Conepatus semistriatus","Cuniculus paca","Dasyprocta azarae","Dasyprocta leporina","Eira barbara","Galictis cuja","Galictis vittata","Herpailurus yagouaroundi","Hydrochoerus hydrochaeris","Leontopithecus chrysopygus","Leopardus wiedii","Mazama gouazoubira","Nasua nasua","Pecari tajacu","Potos flavus","Procyon cancrivorus","Pseudalopex gymnocercus","Pseudalopex vetulus","Sapajus cay","Sapajus libidinosus","Sapajus nigritus","Sapajus robustus","Sapajus xanthosternos","Sciurus aestuans","Tapirus terrestris","Tayassu pecari"
"84",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"86",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"87",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
"88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"97",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
