"","Blarinomys breviceps","Caluromys philander","Cerradomys langguthi","Cerradomys subflavus","Cerradomys vivoi","Cryptonanus agricolai","Cryptonanus guahybae","Delomys dorsalis","Delomys sublineatus","Euryoryzomys russatus","Euryzygomatomys spinosus","Gracilinanus agilis","Gracilinanus microtarsus","Hylaeamys laticeps","Juliomys ossitenuis","Juliomys pictipes","Juliomys rimofrons","Marmosa demerarae","Marmosa murina","Marmosa paraguayanus","Marmosops incanus","Marmosops paulensis","Metachirus nudicaudatus","Monodelphis americana","Monodelphis dimidiata","Monodelphis domestica","Monodelphis iheringi","Monodelphis kunsi","Monodelphis scalops","Oecomys catherinae","Oligoryzomys flavescens","Oligoryzomys nigripes","Philander frenatus","Phyllomys brasiliensis","Phyllomys nigrispinus","Phyllomys pattoni","Pseudoryzomys simplex","Rattus norvegicus","Rattus rattus","Rhagomys rufescens","Rhipidomys itoan","Rhipidomys mastacalis","Sooretamys angouya","Thaptomys nigrita","Thrichomys laurentius","Trinomys dimidiatus","Trinomys eliasi","Trinomys iheringi","Trinomys mirapitanga","Trinomys paratus","Trinomys setosus"
"sm142",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sm144",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sm146",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"sm147",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
"sm148",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
"sm149",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"sm15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sm152",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sm155",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sm156",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sm157",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
