"","Latitude","Longitude","BSR","1kmForestCover","5kmForestCover","10kmForestCover","MeanAge","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"1735",-23.724166,-47.073055,"Serra do Mar coastal forests",48.465741495354,41.8244452254669,44.6530461065551,47.3273716951788,0.06454,17.033332824707,242.799331665039,1548,55.7148284912109,914,0
"1736",-23.74388889,-47.06444444,"Serra do Mar coastal forests",41.9319145094587,40.4153591142043,54.8217484007422,43.5730480892302,0.15542,16.9375,242.282012939453,1581,55.1279602050781,914,0
"1738",-23.70861111,-47.07222222,"Serra do Mar coastal forests",32.9853017943487,39.0828415757471,40.1095187780184,48.28,0.04,17.0625,241.502151489258,1539,55.9867553710938,914,0
"1739",-23.75,-47.05555556,"Serra do Mar coastal forests",14.1425767998161,41.6581638123473,59.6880142113133,47.56,0.06,16.9583339691162,241.320556640625,1588,55.2593078613281,914,0
"1740",-23.76805556,-47.04611111,"Serra do Mar coastal forests",17.3923818408162,53.9181718110669,66.4323528480487,49.1041666666667,0.02083,16.8500003814697,241.510406494141,1618,54.2717781066895,914,0.01
"2",-23.15,-44.166666,"Serra do Mar coastal forests",85.2602092202517,58.3831844800046,37.3099533037237,49.1383541292219,0.02009,20.2124996185303,218.165130615234,1579,57.6539039611816,149,6.29
"278",-20.833333,-42.65,"Bahia interior forests",3.52563428828811,8.99341149021952,12.6063714801684,17.2790697674419,0.69767,19.1833324432373,240.985977172852,1297,76.5650253295898,900,0.71
"303",-23.15,-44.216666,"Serra do Mar coastal forests",99.2520674215557,94.9266666759606,46.5567709113066,49.2417593838831,0.01721,18.7083339691162,226.242370605469,1630,59.804313659668,606,8.7
"31",-19.05,-40,"Bahia coastal forests",55.4308639271263,60.5311757451928,56.3121783254645,45.0682213713888,0.11486,23.6499996185303,187.846633911133,1198,48.6802177429199,39,0.09
"312",-23.15,-44.216666,"Serra do Mar coastal forests",99.2520674215557,94.9266666759606,46.5567709113066,49.2417593838831,0.01721,18.7083339691162,226.242370605469,1630,59.804313659668,606,8.7
"313",-23.15,-44.216666,"Serra do Mar coastal forests",99.2520674215557,94.9266666759606,46.5567709113066,49.2417593838831,0.01721,18.7083339691162,226.242370605469,1630,59.804313659668,606,8.7
