"bird_sp_list","bodymass","specialisation","forstrat","dispersal"
"Tangara cayana",18,0.024390243902439,3,17.9
"Tangara cyanocephala",18,0,3.4,21.3
"Tangara cyanoptera",21.5,0.0522875816993464,3,20.9
"Tangara cyanoventris",16.5,0.111111111111111,3.2,19.1
"Tangara desmaresti",20.4,0.102564102564103,4,20
"Tangara mexicana",20.5,0.111111111111111,3.1,23.2
"Tangara seledon",18.7,0.0522875816993464,3.6,22.4
"Tersina viridis",29,0.0804597701149425,3.2,29.1
"Thamnophilus caerulescens",21.1,0.0572390572390572,2.4,9.7
"Thamnophilus ruficapillus",20.4,0.024390243902439,2.8,9.8
"Thlypopsis sordida",17,0.181286549707602,3.3,15.8
"Thraupis bonariensis",36,0.0572390572390572,3.1,21.5
"Thraupis ornata",33,0.0522875816993464,3.3,26.2
"Thraupis palmarum",39,0.153439153439153,3.9,21.9
"Thraupis sayaca",32.5,0.153439153439153,3.5,23.5
"Tinamus solitarius",1386.4,0.285714285714286,1,13.7
"Tityra cayana",68.1,0.0522875816993464,2.5,26.2
"Tityra inquisitor",43.1,0.0522875816993464,3,26.5
"Todirostrum cinereum",6.3,0.024390243902439,2.97,15
"Tolmomyias flaviventris",12.2,0.0522875816993464,3.8,14.9
"Tolmomyias sulphurescens",14.3,0.024390243902439,2.7,15.7
"Touit melanonotus",66.5,0.0522875816993464,2.9,42
"Trichothraupis melanops",22.6,0.0946502057613169,2.4,19.2
"Triclaria malachitacea",90,0.285714285714286,2.9,30.5
"Trogon melanurus",114,0.0804597701149425,3.5,35
"Trogon rufus",53.8,0.102564102564103,2.2,37.9
"Trogon surrucura",73.3,0.0522875816993464,3,38.4
"Trogon viridis",89.7,0.130434782608696,3.4,34.6
"Turdus albicollis",54,0.102564102564103,1.4,21.2
"Turdus amaurochalinus",57.9,0.102564102564103,2.7,23.4
"Turdus flavipes",65.1,0.0522875816993464,2.8,25.9
"Turdus fumigatus",75.7,0.111111111111111,1.5,21.1
"Turdus leucomelas",69.1,0.0804597701149425,1.6,22.4
"Turdus leucops",62.4,0.0522875816993464,2.5,25.6
"Turdus rufiventris",69.4,0.111111111111111,1,17.4
"Turdus subalaris",49.5,0.102564102564103,2.2,28.5
"Tyrannus savana",31.9,0.0804597701149425,1.5,32
"Veniliornis maculifrons",38.7,0.024390243902439,2.8,22.8
"Veniliornis spilogaster",40.3,0.0522875816993464,2.5,18.8
"Vireo olivaceus",16.1,0.141414141414141,3.8,29.8
"Volatinia jacarina",9.9,0.259259259259259,1,14.1
"Xipholena atropurpurea",61.3,0.0946502057613169,3,21.8
