Species;GapeSize;Gape_Sivault;Gape_AvianFrug;Gape_Bovo;Gape_ATLANTIC;Gape_Pigot;Gape_MammalModel;Reference
Thraupis.sayaca;9.3;NA;9.3;NA;8.920555556;10.0375;NA;McFadden et al., 2022
Tinamus.solitarius;21.8;NA;NA;NA;NA;NA;NA;Genus average
Tityra.cayana;17.3;NA;17.3;19.36;16.57037037;18.325;NA;McFadden et al., 2022
Tityra.inquisitor;15.7;NA;15.7;15.75;15.197;NA;NA;McFadden et al., 2022
Todirostrum.cinereum;6.35;NA;NA;6.35;NA;NA;NA;Bovo et al., 2018
Tolmomyias.flaviventris;10.04;NA;NA;10.04;8;NA;NA;Bovo et al., 2018
Tolmomyias.sulphurescens;11.1;NA;NA;11.1;9.9375;NA;NA;Bovo et al., 2018
Touit.melanonotus;9.9;NA;9.9;NA;NA;NA;NA;McFadden et al., 2022
Trichothraupis.melanops;8.531153846;NA;NA;NA;8.531153846;9.9;NA;Bello et al., 2017
Triclaria.malachitacea;14.609;NA;NA;NA;NA;NA;NA;Family average (Psittacidae) McFadden et al., 2022
Trogon.melanurus;19.9;NA;19.9;NA;NA;NA;NA;McFadden et al., 2022
Trogon.rufus;18.7;NA;NA;18.7;16.43;18.7;NA;Bovo et al., 2018
Trogon.surrucura;19.5;NA;NA;19.5;17.52380952;NA;NA;Bovo et al., 2018
Trogon.viridis;21.6;NA;21.6;21.98;20.489;NA;NA;McFadden et al., 2022
Turdus.albicollis;12.6;NA;NA;12.6;11.14875;12.325;NA;Bovo et al., 2018
Turdus.amaurochalinus;10.8;NA;10.8;13.08;12.09548387;13.075;NA;McFadden et al., 2022
Turdus.flavipes;11.5;NA;11.5;10.48;12.24711539;NA;NA;McFadden et al., 2022
Turdus.fumigatus;11.7;NA;11.7;NA;12;NA;NA;McFadden et al., 2022
Turdus.leucomelas;11.78;NA;NA;11.78;12.54757794;12.775;NA;Bovo et al., 2018
Turdus.leucops;10.3;NA;10.3;NA;NA;NA;NA;McFadden et al., 2022
Turdus.rufiventris;12;NA;12;12.3;13.25321429;12.3;NA;McFadden et al., 2022
Turdus.subalaris;10.93;NA;NA;10.93;11.32444444;NA;NA;Bovo et al., 2018
Tyrannus.savana;11.425;NA;NA;NA;NA;11.425;NA;Pigot et al., 2016
Veniliornis.spilogaster;11.25;NA;NA;11.25;11.6;NA;NA;Bovo et al., 2018
Vireo.olivaceus;6.761290323;NA;NA;NA;6.761290323;8.675;NA;Bello et al., 2017
Volatinia.jacarina;5.08;NA;NA;NA;5.08;NA;NA;Bello et al., 2017
Xipholena.atropurpurea;13.9;NA;13.9;NA;NA;NA;NA;McFadden et al., 2022
Anoura.caudifer;16.6;NA;NA;NA;16.6;NA;14.1933513;Bello et al., 2017
Anoura.geoffroyi;18.11;NA;NA;NA;18.11;NA;15.29566579;Bello et al., 2017
Artibeus.fimbriatus;20.9;NA;NA;NA;20.9;NA;21.64324756;Bello et al., 2017
Artibeus.lituratus;23.48500003;23.48500003;NA;NA;21.11;NA;20.0010168;Sivault et al., 2023
Artibeus.obscurus;19.61000002;19.61000002;NA;NA;19.01;NA;19.95364457;Sivault et al., 2023
Artibeus.planirostris;19.9;NA;NA;NA;19.9;NA;20.09471913;Bello et al., 2017
Carollia.perspicillata;14.685;14.685;NA;NA;14.29;NA;15.57922444;Sivault et al., 2023
Chiroderma.doriae;16.3250356;NA;NA;NA;NA;NA;16.3250356;Model
Chrotopterus.auritus;23.14823487;NA;NA;NA;NA;NA;23.14823487;Model
Glossophaga.soricina;13.22999999;13.22999999;NA;NA;13.71;NA;13.90599545;Sivault et al., 2023
Micronycteris.megalotis;11.3;NA;NA;NA;11.3;NA;12.40954495;Bello et al., 2017
Phyllostomus.hastatus;26.25000002;26.25000002;NA;NA;26.98;NA;23.02923464;Sivault et al., 2023
Platyrrhinus.lineatus;16.67999999;16.67999999;NA;NA;17.6;NA;16.72578877;Sivault et al., 2023
Platyrrhinus.recifinus;16.66;NA;NA;NA;16.66;NA;14.08911679;Bello et al., 2017
Pygoderma.bilabiatum;12.23;NA;NA;NA;12.23;NA;15.93378729;Bello et al., 2017
Rhinophylla.pumilio;12.9325;12.9325;NA;NA;NA;NA;13.6667658;Sivault et al., 2023
Sturnira.lilium;14.76250001;14.76250001;NA;NA;14.79;NA;16.34482907;Sivault et al., 2023
Sturnira.tildae;16.12750002;16.12750002;NA;NA;NA;NA;16.80695333;Sivault et al., 2023
Trachops.cirrhosus;18.95317915;NA;NA;NA;NA;NA;18.95317915;Model
Vampyressa.pusilla;12.61;NA;NA;NA;12.61;NA;13.39707227;Bello et al., 2017
Alouatta.caraya;63.43717782;NA;NA;NA;NA;NA;63.43717782;Model
Alouatta.guariba;62.65238934;NA;NA;NA;NA;NA;62.65238934;Model
Blarinomys.breviceps;18.93950544;NA;NA;NA;NA;NA;18.93950544;Model
Brachyteles.arachnoides;74.86754499;NA;NA;NA;NA;NA;74.86754499;Model
Callicebus.nigrifrons;45.57432764;NA;NA;NA;NA;NA;45.57432764;Model
Callithrix.aurita;30.73779119;NA;NA;NA;NA;NA;30.73779119;Model
