Species;Seed.Length;References
Eugenia.melanogyna;26;Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest (Morellato et al., 2011)
Eugenia.monosperma;22.5;Colecionando Frutas
Eugenia.mosenii;19;Colecionando Frutas
Eugenia.multicostata;21.2;Bello
Eugenia.neoglomerata;16.4;Bello
Eugenia.neoverrucosa;30;Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest (Morellato et al., 2011)
Eugenia.oblongata;17;ReSeeD
Eugenia.paracatuana;6;Colecionando Frutas
Eugenia.piloensis;13.881;Genus average
Eugenia.pluriflora;10;ReSeeD
Eugenia.prasina;18.9;Bello
Eugenia.pruinosa;13.881;Genus average
Eugenia.puberula;7;Flora e Funga do Brasil
Eugenia.punicifolia;7.39;Bello
Eugenia.pyriformis;13.417;ReSeeD
Eugenia.ramboi;6.6;Bello
Eugenia.repanda;7.6;ReSeeD
Eugenia.speciosa;24;Plantulas de especies arboreas de mata atlantica: ecologia, morfofuncionalidade e manual de idetificacao (Pereira, 2004)
Eugenia.sphenophylla;13.881;Genus average
Eugenia.subavenia;8;Colecionando Frutas
Eugenia.subterminalis;11;Colecionando Frutas
Eugenia.supraaxillaris;28;ReSeeD
Eugenia.tenuipedunculata;6.5;Colecionando Frutas
Eugenia.uniflora;9.464;ReSeeD
Eugenia.verticillata;7;Bello
Eugenia.viridiflora;13.881;Genus average
Eugenia.xiriricana;38;Bello
Euplassa.legalis;20.8;Genus average
Euterpe.edulis;11.254;ReSeeD
Exostyles.godoyensis;15;Flora e Funga do Brasil
Faramea.latifolia;6;Genus average
Faramea.multiflora;6;Flora e Funga do Brasil
Faramea.tetragona;6;Genus average
Ficus.adhatodifolia;2.5;Quantity and quality of seed dispersal by a large arboreal frugivore in small and large Atlantic forest fragments (Chaves et al., 2018)
Ficus.crocata;1.4;Frugivory and seed dispersal in the Cerrado: Network structure and defaunation effects (Bello Carvalho et al., 2023)
Ficus.enormis;15;Bello
Ficus.eximia;1.6;Bello
Ficus.gomelleira;0.5;Bello
Ficus.guaranitica;1.059;ReSeeD
Ficus.insipida;1.625;ReSeeD
Ficus.luschnathiana;1.6;Bello
Ficus.obtusifolia;1;ReSeeD
Gallesia.integrifolia;6.75;ReSeeD
Garcinia.gardneriana;21.667;ReSeeD
Genipa.americana;7.8;Bello
Geonoma.schottiana;7.95;Genus average
Guapira.hirsuta;10;Colecionando Frutas
Guapira.noxia;8;ReSeeD
Guapira.opposita;7.68;ReSeeD
Guarea.guidonia;12.667;ReSeeD
Guarea.kunthiana;21.25;ReSeeD
Guarea.macrophylla;14.075;ReSeeD
Guatteria.australis;8.233;ReSeeD
Guatteria.sellowiana;8.5;Bello
Guazuma.ulmifolia;2.373;ReSeeD
Guettarda.viburnoides;15;Bello
Gymnanthes.klotzschiana;4.584;ReSeeD
Handroanthus.impetiginosus;11.267;ReSeeD
Hedyosmum.brasiliense;2.8;ReSeeD
Heisteria.silvianii;14;ReSeeD
Helietta.apiculata;13;ReSeeD
Hirtella.hebeclada;20;ReSeeD
Holocalyx.balansae;20.333;ReSeeD
Hovenia.dulcis;5.25;ReSeeD
Humiriastrum.dentatum;18;Bello
Hyeronima.alchorneoides;3.5;ReSeeD
Hymenaea.courbaril;21.879;ReSeeD
Ilex.brasiliensis;3.617;Genus average
Ilex.dumosa;2;Bello
Ilex.paraguariensis;4.35;ReSeeD
Ilex.pseudobuxus;3.617;Genus average
Ilex.theezans;4.5;ReSeeD
Inga.capitata;13.6;Bello
Inga.edulis;28.318;ReSeeD
Inga.laurina;15.24;ReSeeD
Inga.lenticellata;14.219;Genus average
Inga.marginata;10;ReSeeD
Inga.sessilis;15;Bello
Inga.striata;16.8;Bello
Inga.vera;14.03;ReSeeD
Ixora.gardneriana;5;Bello
Ixora.venulosa;5.55;Genus average
Jacaranda.puberula;10.654;ReSeeD
Jacaratia.spinosa;6.05;ReSeeD
Joannesia.princeps;25;ReSeeD
Lacistema.hasslerianum;6.29;ReSeeD
Lacistema.pubescens;5;The World Flora Online
Lafoensia.glyptocarpa;18.952;ReSeeD
Lafoensia.pacari;19.4;ReSeeD
Lamanonia.ternata;5.45;ReSeeD
Lantana.camara;4.3;ReSeeD
Leandra.acutiflora;0.8;Genus average
Leandra.melastomoides;0.8;Genus average
Libidibia.ferrea;8.1;ReSeeD
Licania.hoehnei;35.55;Genus average
Licania.tomentosa;66;ReSeeD
Licaria.armeniaca;15;Bello
Lithraea.molleoides;3;Romano
Lithrea.molleoides;3.675;ReSeeD
Lonchocarpus.cultratus;9.44;ReSeeD
Luehea.divaricata;9.287;ReSeeD
Luehea.grandiflora;12.4;ReSeeD
Mabea.fistulifera;7.645;ReSeeD
Machaerium.brasiliense;11.96;ReSeeD
Maclura.tinctoria;3.063;ReSeeD
Magnolia.ovata;11;Bello
Mangifera.indica;55;ReSeeD
Maprounea.brasiliensis;4.333;Genus average
Maprounea.guianensis;4.333;ReSeeD
Marlierea.eugeniopsoides;11;Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest (Morellato et al., 2011)
Marlierea.obscura;9;Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest (Morellato et al., 2011)
Marlierea.suaveolens;12;ReSeeD
Matayba.elaeagnoides;9.566;ReSeeD
Matayba.guianensis;9.12;ReSeeD
Matayba.intermedia;9.25;ReSeeD
Matayba.obovata;9.684;Genus average
Maytenus.gonoclada;12.5;Bello
Maytenus.ilicifolia;6;Bello
Maytenus.littoralis;9.25;Genus average
Melia.azedarach;3.5;https://apps.worldagroforestry.org/treedb/AFTPDFS/Melia_azedarach.PDF
Meliosma.chartacea;1.55;Flora e Funga do Brasil
Meliosma.sellowii;15;Bello
Metrodorea.nigra;7.05;ReSeeD
Metrodorea.stipularis;6.075;ReSeeD
Miconia.affinis;1.1;Frugivory and seed dispersal in the Cerrado: Network structure and defaunation effects (Bello Carvalho et al., 2023)
Miconia.albicans;1.002;ReSeeD
Miconia.buddlejoides;1.163;Genus average
Miconia.cabucu;2.6;ReSeeD
Miconia.cinnamomifolia;0.4;Bello
Miconia.cubatanensis;1.163;Genus average
Miconia.dodecandra;1.15;Seed diversity in the Miconieae (Melastomataceae): morphological characterization and phenetic relationships (Ocampo & Almeda, 2013)
Miconia.fasciculata;1.163;Genus average
Miconia.formosa;1.163;Genus average
Miconia.ibaguensis;0.82;Seed diversity in the Miconieae (Melastomataceae): morphological characterization and phenetic relationships (Ocampo & Almeda, 2013)
Miconia.latecrenata;0.905;Seed diversity in the Miconieae (Melastomataceae): morphological characterization and phenetic relationships (Ocampo & Almeda, 2013)
Miconia.ligustroides;1.3;Bello
Miconia.petropolitana;1.163;Genus average
Miconia.pusilliflora;2.07;Seed diversity in the Miconieae (Melastomataceae): morphological characterization and phenetic relationships (Ocampo & Almeda, 2013)
Miconia.racemifera;1.163;Genus average
Miconia.rubiginosa;1.37;Seed diversity in the Miconieae (Melastomataceae): morphological characterization and phenetic relationships (Ocampo & Almeda, 2013)
Miconia.tristis;1.163;Genus average
Mimosa.bimucronata;4.5;ReSeeD
Mimosa.caesalpiniifolia;5.5;The World Flora Online
Mollinedia.elegans;7.705;Efeitos filogeneticos em atributos reprodutivos de especies endozoocoricas em uma Floresta com Araucaria no Sul do Brasil (Seger, 2010)
Mollinedia.schottiana;13.201;Genus average
Mollinedia.triflora;13.201;Genus average
Mollinedia.uleana;18;Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest (Morellato et al., 2011)
Mollinedia.widgrenii;13.6;ReSeeD
Monteverdia.aquifolia;6.75;ReSeeD
Monteverdia.evonymoides;7.94;ReSeeD
Monteverdia.gonoclada;12.167;ReSeeD
Montezuma.speciosissima;12.5;Atkinsia Gen. Nov., Thespesia, and related West Indian genera of the Malvaceae (Howard, 1949)
Moquiniastrum.polymorphum;3;ReSeeD
Morus.nigra;2;Seed dispersal services by coatis (Nasua nasua) and their redundancy with other frugivores in southeastern Brazil (Alves-Costa & Eterovick, 2007)
Myracrodruon.urundeuva;3;ReSeeD
Myrceugenia.myrcioides;1.9;ReSeeD
Myrceugenia.pilotantha;4;Myrtaceae from the Atlantic forest subtropical highlands of Sao Joaquim National Park (de Andrade Wagner & Fiaschi, 2020)
Myrceugenia.rufescens;4;The World Flora Online
Myrcia.anacardiifolia;6.238;Genus average
Myrcia.brasiliensis;6.238;Genus average
Myrcia.chrysotrichoma;6.238;Genus average
Myrcia.flagellaris;6.238;Genus average
Myrcia.glomerata;6.238;Genus average
Myrcia.guianensis;5.137;ReSeeD
Myrcia.hebepetala;10;ReSeeD
Myrcia.ilheosensis;3.9;Bello
Myrcia.loranthifolia;6.238;Genus average
Myrcia.multiflora;6.42;ReSeeD
Myrcia.oblongata;6.238;Genus average
Myrcia.pubipetala;10;ReSeeD
Myrcia.racemosa;5;Bello
Myrcia.selloi;3.3;ReSeeD
Myrcia.spectabilis;11;ReSeeD
Myrcia.splendens;5.815;ReSeeD
Myrcia.strigipes;10;ReSeeD
Myrcia.tenuivenosa;6.238;Genus average
Myrcia.tijucensis;9;Bello
Myrcia.tomentosa;3;ReSeeD
Myrcianthes.pungens;9.833;ReSeeD
Myrciaria.delicatula;14.6;Bello
Myrciaria.floribunda;7.78;ReSeeD
Myrciaria.tenella;5.5;ReSeeD
Myriopus.rubicundus;1.5;Flora of Rio Grande do Norte, Brazil: Boraginales (De Melo et al., 2018)
Myrsine.coriacea;2.803;ReSeeD
Myrsine.gardneriana;3;ReSeeD
Myrsine.guianensis;4;ReSeeD
Myrsine.lancifolia;3;Frugivory and seed dispersal in the Cerrado: Network structure and defaunation effects (Bello Carvalho et al., 2023)
Myrsine.umbellata;4.38;ReSeeD
Myrsine.venosa;4.27;Hyperdominance in fruit production in the Brazilian Atlantic rain forest: the funtional role of plants in sustaining frugivores
Nectandra.barbellata;12;Bello
Nectandra.cuspidata;10;Bello
Nectandra.grandiflora;18.7;ReSeeD
Nectandra.lanceolata;13.6;ReSeeD
Nectandra.leucantha;25;Bello
Nectandra.megapotamica;9.28;ReSeeD
Nectandra.membranacea;10;Bello
Nectandra.nitidula;10;Bello
Nectandra.oppositifolia;14;Bello
Nectandra.puberula;11;Bello
Neomitranthes.glomerata;14;Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest (Morellato et al., 2011)
Ocotea.aciphylla;16.5;ReSeeD
Ocotea.acutifolia;19.2;Bello
Ocotea.bicolor;10.7;Bello
